signatory,constituency_name,constituency_gss,mp_name,mp_party
Bedfordshire Climate Change Forum,Mid Bedfordshire,E14001359,Blake Stephenson,Conservative Party
Bedfordshire Climate Change Forum,North Bedfordshire,E14001384,Richard Fuller,Conservative Party
Bedfordshire Climate Change Forum,Bedford,E14001084,Mohammad Yasin,Labour Party
Garforth Women's Institute,Leeds East,E14001320,Richard Burgon,Labour Party
Hinderwell Women's Institute,Scarborough and Whitby,E14001461,Alison Hume,Labour Party
Kirkby in Bloom,Skipton and Ripon,E14001475,Julian Smith,Conservative Party
Whalley Range Climate Action Group,Manchester Rusholme,E14001353,Afzal Khan,Labour Party
Ashburnham & Penhurst Women's Institute,Bexhill and Battle,E14001088,Kieran Mullan,Conservative Party
Stretton Climate Care,South Shropshire,E14001493,Stuart Anderson,Conservative Party
The Green Group in Almeley,North Herefordshire,E14001395,Ellie Chowns,Green Party
Newtown Women's Institute,Montgomeryshire and Glyndŵr,W07000102,Steve Witherden,Labour Party
Pill and Easton-in-Gordano Wildlife Group,North Somerset,E14001399,Sadik Al-Hassan,Labour Party
Wheldrake Womans Institute,York Outer,E14001605,Luke Charters,Labour Party
Zero Carbon Shropshire,Telford,E14001541,Shaun Davies,Labour Party
Zero Carbon Shropshire,The Wrekin,E14001543,Mark Pritchard,Conservative Party
Zero Carbon Shropshire,North Shropshire,E14001398,Helen Morgan,Liberal Democrats
Nature Chain Winsley,Melksham and Devizes,E14001356,Brian Mathew,Liberal Democrats
Fell's Angels Women's Institute,Gateshead Central and Whickham,E14001244,Mark Ferguson,Labour Party
Hendreds Environment Group (HEG),Didcot and Wantage,E14001197,Olly Glover,Liberal Democrats
Fairtrade Portishead,North Somerset,E14001399,Sadik Al-Hassan,Labour Party
Kemsing Evening Women's Institute,Sevenoaks,E14001465,Laura Trott,Conservative Party
Festival Drayton Centre,North Shropshire,E14001398,Helen Morgan,Liberal Democrats
Powys Montgomery Federation of Women's Institutes,Montgomeryshire and Glyndŵr,W07000102,Steve Witherden,Labour Party
"Christ Church, Lancaster",Lancaster and Wyre,E14001318,Cat Smith,Labour Party
Llanfair Caereinion Women's Institute,Montgomeryshire and Glyndŵr,W07000102,Steve Witherden,Labour Party
Sustainable Bridgnorth,South Shropshire,E14001493,Stuart Anderson,Conservative Party
"Market Drayton Branch, Shropshire Wildlife Trust",North Shropshire,E14001398,Helen Morgan,Liberal Democrats
Wheldrake Womens Institute,York Outer,E14001605,Luke Charters,Labour Party
"National Women's Register, Market Drayton",North Shropshire,E14001398,Helen Morgan,Liberal Democrats
Sustainable Living in the Heatons,Stockport,E14001517,Navendu Mishra,Labour Party
Havant Climate Action,Havant,E14001275,Alan Mak,Conservative Party
Transition West Gateshead,Gateshead Central and Whickham,E14001244,Mark Ferguson,Labour Party
Green Space Friends,Penrith and Solway,E14001424,Markus Campbell-Savours,Labour Party
Suffolk West Federation Women's Institute,West Suffolk,E14001578,Nick Timothy,Conservative Party
Suffolk West Federation Women's Institute,South Suffolk,E14001494,James Cartlidge,Conservative Party
Suffolk West Federation Women's Institute,Bury St Edmunds and Stowmarket,E14001146,Peter Prinsley,Labour Party
Harwell Women's Institute,Didcot and Wantage,E14001197,Olly Glover,Liberal Democrats
Byland with Wass Women's Institute,Thirsk and Malton,E14001544,Kevin Hollinrake,Conservative Party
Garforth Women's Institute,DUPLICATE,E14001206,Alex Mayer,Labour Party
Hillingdon Friends of the Earth,Hayes and Harlington,E14001276,John Martin McDonnell,Labour Party
Hillingdon Friends of the Earth,Uxbridge and South Ruislip,E14001558,Danny Beales,Labour Party
Hillingdon Friends of the Earth,"Ruislip, Northwood and Pinner",E14001454,David Simmonds,Conservative Party
West of Scotland Development Education Centre,Glasgow North,S14000085,Martin Rhodes,Labour Party
Nuthall Methodist Church Eco Church,Nottingham North and Kimberley,E14001411,Alex Norris,Labour Co-operative
Hadlow Women's Institute,Tonbridge,E14001549,Thomas Tugendhat,Conservative Party
Hadlow Community Allotment,Tonbridge,E14001549,Thomas Tugendhat,Conservative Party
HadLOW CARBON Community,Tonbridge,E14001549,Thomas Tugendhat,Conservative Party
Horsham Eco Churches,Horsham,E14001294,John Milne,Liberal Democrats
Bawtry Women's Institute,Doncaster East and the Isle of Axholme,E14001199,Lee Pitcher,Labour Party
Surfers Against Sewage,East Worthing and Shoreham,E14001218,Tom Rutland,Labour Party
South Tonbridge Women's Institute,Tonbridge,E14001549,Thomas Tugendhat,Conservative Party
Goodnestone Women's Institute,Herne Bay and Sandwich,E14001282,Roger Gale,Conservative Party
Tonbridge Repair Cafe,Tonbridge,E14001549,Thomas Tugendhat,Conservative Party
One Planet Abingdon Climate Emergency Centre,Oxford West and Abingdon,E14001420,Layla Moran,Liberal Democrats
The Green Skills Library,Maidenhead,E14001348,Joshua Reynolds,Liberal Democrats
Long Itchington Women's Institute,Kenilworth and Southam,E14001309,Jeremy Wright,Conservative Party
Tonbridge and Malling Women's Institute,Tonbridge,E14001549,Thomas Tugendhat,Conservative Party
Whey Aye Women's Institute,Newcastle Upon Tyne North,E14001379,Catherine McKinnell,Labour Party
Greening Ringwood,New Forest West,E14001374,Desmond Swayne,Conservative Party
east lothian stitiches for survival climate activists,Lothian East,S14000096,Douglas Alexander,Labour Co-operative
Market Drayton Community Enterprise CIO,North Shropshire,E14001398,Helen Morgan,Liberal Democrats
Woking Environment Action (WEAct),Woking,E14001592,Will Forster,Liberal Democrats
Powys Radnor Federation Women's Institutes,"Brecon, Radnor and Cwm Tawe",W07000085,David Chadwick,Liberal Democrats
"Castle Methodist Church, Colchester",Colchester,E14001176,Pam Cox,Labour Party
Friends of the Earth Tewkesbury,Tewkesbury,E14001542,Cameron Thomas,Liberal Democrats
Bentham Environmentally Sustainable Town,Skipton and Ripon,E14001475,Julian Smith,Conservative Party
Drayton Civic Society,North Shropshire,E14001398,Helen Morgan,Liberal Democrats
Market Drayton U3A,North Shropshire,E14001398,Helen Morgan,Liberal Democrats
Drayton Writers,North Shropshire,E14001398,Helen Morgan,Liberal Democrats
United Downs Environment Group,Truro and Falmouth,E14001554,Jayne Kirkham,Labour Co-operative
Keele Bach Choir,Newcastle-under-Lyme,E14001380,Adam Jogee,Labour Party
Whitby Women's Institute,Scarborough and Whitby,E14001461,Alison Hume,Labour Party
Plastic Free Thornbury,Thornbury and Yate,E14001545,Claire Young,Liberal Democrats
Bedfordshire County Federations of WIs,Mid Bedfordshire,E14001359,Blake Stephenson,Conservative Party
Bedfordshire County Federations of WIs,North Bedfordshire,E14001384,Richard Fuller,Conservative Party
Bedfordshire County Federations of WIs,Bedford,E14001084,Mohammad Yasin,Labour Party
Friends of Rising Sun Country Park,Newcaste upon Tyne East and Wallsend,E14001376,Lee Dillon,Liberal Democrats
GreenspaceSOS,Bridgend,W07000086,Chris Elmore,Labour Party
Action on Climate Emergency (ACE) Settle and area,Skipton and Ripon,E14001475,Julian Smith,Conservative Party
Climate Action Stokesley and Villages,Richmond and Northallerton,E14001444,Rishi Sunak,Conservative Party
Norfolk Global Neighbours,Norwich North,E14001408,Alice Macdonald,Labour Co-operative
Norfolk Global Neighbours,Norwich South,E14001409,Clive Lewis,Labour Party
Ditchling Climate Action Network,Lewes,E14001330,James MacCleary,Liberal Democrats
"Mothers Climate Aaction Network, Cambridge",Cambridge,E14001149,Daniel Zeichner,Labour Party
"Mothers Climate Action Network, Leigh-on-Sea",Southend East and Rochford,E14001501,Bayo Alaba,Labour Party
"Mothers Climate Action Network, Leigh-on-Sea",Southend West and Leigh,E14001502,David Burton-Sampson,Labour Party
Barnsley Phoenix Women's Institute,Barnsley North,E14001074,Dan Jarvis,Labour Party
Barnsley Phoenix Women's Institute,Barnsley South,E14001075,Stephanie Peacock,Labour Party
Wheldrake Women's Institute,York Outer,E14001605,Luke Charters,Labour Party
Mothers Climate Action Network Highams Park,Chingford and Woodford Green,E14001167,Iain Duncan Smith,Conservative Party
Friends of the Earth Bromley,Bromley and Biggin Hill,E14001137,Peter Fortune,Conservative Party
Frome Families for the Future,Frome and East Somerset,E14001241,Anna Sabine,Liberal Democrats
The GRAB Trust,"Argyll, Bute and South Lochaber",S14000067,Brendan O'Hara,Scottish National Party
High Green Women's Institute,Penistone and Stocksbridge,E14001423,Marie Tidball,Labour Party
Extinction Rebellion Milton Keynes,Milton Keynes Central,E14001369,Emily Darlington,Labour Party
Extinction Rebellion Milton Keynes,Milton Keynes North,E14001370,Chris Curtis,Labour Party
Oxshott Village Women's Institue,Runnymede and Weybridge,E14001456,Ben Spencer,Conservative Party
Green Christian St Albans,St Albans,E14001507,Daisy Cooper,Liberal Democrats
Bromsgrove Justice and Peace Group,Bromsgrove,E14001138,Bradley Thomas,Conservative Party
Berriew Women's Institute,Montgomeryshire and Glyndŵr,W07000102,Steve Witherden,Labour Party
refill revolution limited,South Leicestershire,E14001488,Alberto Costa,Conservative Party
refill revolution limited,North West Leicestershire,E14001404,Amanda Hack,Labour Party
Harborough EcoVillage CIC,South Leicestershire,E14001488,Alberto Costa,Conservative Party
Harborough EcoVillage CIC,North West Leicestershire,E14001404,Amanda Hack,Labour Party
Cambridge federation of Women's institutes,Cambridge,E14001149,Daniel Zeichner,Labour Party
Witney Benefice Environment Group,Witney,E14001591,Charlie Maynard,Liberal Democrats
Witney Eco Forum,Witney,E14001591,Charlie Maynard,Liberal Democrats
Inverclyde Community Development Trust,Inverclyde and Renfrewshire West,S14000093,Martin McCluskey,Labour Party
Devon and Exeter Medico-Chirurgical Society,Exeter,E14001231,Steve Race,Labour Party
Devon and Exeter Medico-Chirurgical Society,North Devon,E14001387,Ian Roome,Liberal Democrats
Devon and Exeter Medico-Chirurgical Society,Exmouth and Exeter East,E14001232,David Reed,Conservative Party
Devon and Exeter Medico-Chirurgical Society,Central Devon,E14001155,Mel Stride,Conservative Party
Climate Hebrides CIC,Na h-Eileanan an Iar,S14000027,Torcuil Crichton,Labour Party
Kirkby Malzeard Women's Institute,Skipton and Ripon,E14001475,Julian Smith,Conservative Party
Maidenhead Great Park,Maidenhead,E14001348,Joshua Reynolds,Liberal Democrats
Tregynon Women's Institute,Montgomeryshire and Glyndŵr,W07000102,Steve Witherden,Labour Party
Northern Community Power,Newcastle unpon Tyne East and Wallsend,E14001376,Lee Dillon,Liberal Democrats
St Edmunds Livesimply Group,Godalming and Ash,E14001249,Jeremy Hunt,Conservative Party
Friends of Belle Isle Pak,Exeter,E14001231,Steve Race,Labour Party
Exeter Doughnut,Exeter,E14001231,Steve Race,Labour Party
Walton-on-Thames Repair Cafe CIC,Esher and Walton,E14001230,Monica Harding,Liberal Democrats
Kindly of Brighton,Brighton Kemptown and Peacehaven,E14001129,Chris Ward,Labour Party
Kindly of Brighton,Brighton Pavilion,E14001130,Siân Berry,Green Party
"Thrive Church, Eastleigh",Hamble Valley,E14001263,Paul Holmes,Conservative Party
"St James & Emmanuel Church, Didsbury",Manchester Withington,E14001354,Jeff Smith,Labour Party
Bournville Parish Church Eco group,Birmingham Selly Oak,E14001099,Alistair Carns,Labour Party
One Northallerton One Planet,Richmond and Northallerton,E14001444,Rishi Sunak,Conservative Party
Richmondshire Climate Action Partnership,Richmond and Northallerton,E14001444,Rishi Sunak,Conservative Party
Thetford River Group,South West Norfolk,E14001497,Terry Jermy,Labour Party
Friends of Grosvenor and Hilbert Park,Tunbridge Wells,E14001555,Mike Martin,Liberal Democrats
Hebden Bridge Branch Women's Institute,Calder Valley,E14001147,Josh Fenton-Glynn,Labour Party
"Menith Wood WI, Worcestershire Federation",West Worcestershire,E14001579,Harriett Baldwin,Conservative Party
Moving Connections,Ribble Valley,E14001443,Maya Ellis,Labour Party
Home-Start South Leicestershire,South Leicestershire,E14001488,Alberto Costa,Conservative Party
The Harbour WI,Eastbourne,E14001219,Josh Babarinde,Liberal Democrats
Bee Creative,Stroud,E14001529,Simon Opher,Labour Party
Transition Edinburgh,Edinburgh North and Leith,S14000079,Tracy Gilbert,Labour Party
Transition Edinburgh,Edinburgh East and Musselburgh,S14000078,Chris Murray,Labour Party
Ely City WI,Ely and East Cambridgeshire,E14001224,Charlotte Cane,Liberal Democrats
Hanley Castle WI,West Worcestershire,E14001579,Harriett Baldwin,Conservative Party
North Tyneside VODA,Newcastle upon Tyne East and Wallsend,E14001378,Mary Glindon,Labour Party
Minster Environmental Group,Mid Dorset and North Poole,E14001363,Vikki Slade,Liberal Democrats
"People & Planet Group, St. Stephen's Church",Ealing North,E14001208,James Murray,Labour Co-operative
"City United Reformed Church, Cardiff",Cardiff South and Penarth,W07000091,Stephen Doughty,Labour Co-operative
The Pickwell Foundation,North Devon,E14001387,Ian Roome,Liberal Democrats
Stenhouse Baptist Church,Edinburgh West,S14000082,Christine Jardine,Liberal Democrats
Northwich Witton WI,Mid Cheshire,E14001361,Andrew Cooper,Labour Party
Make.Surf CIC,Gower,W07000097,Tonia Antoniazzi,Labour Party
Otford Oast WI,Sevenoaks,E14001465,Laura Trott,Conservative Party
Stapleford WI,Broxtowe,E14001140,Juliet Campbell,Labour Party
Winsford sustainability Partners,Mid Cheshire,E14001361,Andrew Cooper,Labour Party
Westminster Churches Net Zero Forum,Cities of London and Westminster,E14001172,Rachel Blake,Labour Co-operative
Helmsley Women's Institute,Thirsk and Malton,E14001544,Kevin Hollinrake,Conservative Party
Dickens and Forshaw Heath Womens Institute,Meriden and Solihull East,E14001358,Saqib Bhatti,Conservative Party
Fylingdales Women's Institute,Scarborough and Whitby,E14001461,Alison Hume,Labour Party
Willoughby Women's Institute,Rugby,E14001453,John Slinger,Labour Party
Horsham Normandy Women's Institute,Horsham,E14001294,John Milne,Liberal Democrats
Edible Landscapes London CIC,Tottenham,E14001553,David Lammy,Labour Party
West Peckham Women's Institute,Tonbridge,E14001549,Thomas Tugendhat,Conservative Party
"Moiddleton, Aislaby and Wrelton Women's Institute",Thirsk and Malton,E14001544,Kevin Hollinrake,Conservative Party
Uckfield Baptist Church,East Grinstead and Uckfield,E14001212,Mims Davies,Conservative Party
Longtown & District Women's Institute,Hereford and South Herefordshire,E14001281,Jesse Norman,Conservative Party
Cramlington Women's Institute,Cramlington and Killingworth,E14001183,Emma Foody,Labour Co-operative
The Friends of Finsbury Park,Tottenham,E14001553,David Lammy,Labour Party
Wellington Women's Institute,Hereford and South Herefordshire,E14001281,Jesse Norman,Conservative Party
Faith for the Climate,Vauxhall and Camberwell Green,E14001559,Florence Eshalomi,Labour Co-operative
Tir Pontypridd,Pontypridd,W07000106,Alex Davies-Jones,Labour Party
Broxtowe Green Umbrella Group,Broxtowe,E14001140,Juliet Campbell,Labour Party
XR Shrewsbury,Shrewsbury,E14001473,Julia Buckley,Labour Party
Garden of Earthly Delights,Hackney South and Shoreditch,E14001260,Meg Hillier,Labour Co-operative
Garden of Earthly Delights,Hackney North and Stoke Newington,E14001259,Diane Abbott,Labour Party
St P&P's Seal Eco Church,Sevenoaks,E14001465,Laura Trott,Conservative Party
Petts Wood Women's Institute (Afternoon),Orpington,E14001417,Gareth Bacon,Conservative Party
Whickham Fellside Women's Institute,Gateshead central and Whickham,E14001244,Mark Ferguson,Labour Party
Abberley Women's Institute,West Worcestershire,E14001579,Harriett Baldwin,Conservative Party
Wimborne War on Waste CIC,Mid Dorset and North Poole,E14001363,Vikki Slade,Liberal Democrats
Transition Crich,Derbyshire Dales,E14001195,John Whitby,Labour Party
Bretherton Women's Institute,South Ribble,E14001491,Paul Foster,Labour Party
Bretherton Women's Institute,Chorley,E14001170,Lindsay Hoyle,Speaker of the House of Commons
Extinction Rebellion Bangor,Bangor Aberconwy,W07000083,Claire Hughes,Labour Party
Zero Carbon Guildford,Guildford,E14001258,Zöe Franklin,Liberal Democrats
Solar Sisters C.I.C,Guildford,E14001258,Zöe Franklin,Liberal Democrats
Tillingbourne.Earth,Dorking and Horley,E14001201,Chris Coghlan,Liberal Democrats
"Crossroads St Anne's, Earlham, Norwich",Norwich South,E14001409,Clive Lewis,Labour Party
Faith for the Climate,Vauxhall and Camberwell Green,E14001559,Florence Eshalomi,Labour Co-operative
Green Read Share,Guildford,E14001258,Zöe Franklin,Liberal Democrats
St Bonaventure's Laudato Si group,Bristol North West,E14001134,Darren Jones,Labour Party
Beeston Civic Society,Broxtowe,E14001140,Juliet Campbell,Labour Party
Rosamund Community Garden,Guildford,E14001258,Zöe Franklin,Liberal Democrats
The Mount Volunteers,Guildford,E14001258,Zöe Franklin,Liberal Democrats
Guildford Health Walks,Guildford,E14001258,Zöe Franklin,Liberal Democrats
Merrow Pollinators,Guildford,E14001258,Zöe Franklin,Liberal Democrats
Climate Action-West Northamptonshire,Daventry,E14001192,Stuart Andrew,Conservative Party
Climate Action-West Northamptonshire,Northampton South,E14001407,Mike Reader,Labour Party
Climate Action-West Northamptonshire,Northampton North,E14001406,Lucy Rigby,Labour Party
Climate Action-West Northamptonshire,South Northamptonshire,E14001490,Sarah Bool,Conservative Party
Towcester evening WI,South Northamptonshire,E14001490,Sarah Bool,Conservative Party
Bookham Baptist Church,Dorking and Horley,E14001201,Chris Coghlan,Liberal Democrats
Olveston and Tockington Women's Institute,Thornbury and Yate,E14001545,Claire Young,Liberal Democrats
Eastbourne Eco Action Network CIC,Eastbourne,E14001219,Josh Babarinde,Liberal Democrats
"St Mary of the Virgin, Witney, ",Witney,E14001591,Charlie Maynard,Liberal Democrats
Les Bavards (French conversation group based in Eccleshall library),Stafford,E14001513,Leigh Ingham,Labour Party
Ann Wetton Singers,Stafford,E14001513,Leigh Ingham,Labour Party
Guildford & Godalming Interfaith Forum,Guildford,E14001258,Zöe Franklin,Liberal Democrats
Lyghe WI,Tonbridge,E14001549,Thomas Tugendhat,Conservative Party
St Ives EcoAction,St Ives,E14001511,Andrew George,Liberal Democrats
Robert Courts Watch,Witney,E14001591,Charlie Maynard,Liberal Democrats
Helm Mission Community Environmental Prayer and Action Group,Morecombe and Lunesdale,E14001372,Lizzi Collinge,Labour Party
"Friends of the Earth, Eastbourne",Eastbourne,E14001219,Josh Babarinde,Liberal Democrats
Addingham Women's Institute,Keighley and Ilkley,E14001308,Robbie Moore,Conservative Party
FryUp Dales Womens Institute,Scarborough and Whitby,E14001461,Alison Hume,Labour Party
Greening Tetbury,South Cotswolds,E14001482,Roz Savage,Liberal Democrats
Mulbarton Environment Group,South Norfolk,E14001489,Ben Goldsborough,Labour Party
The Parochial Church Council of the Parish Church of All Saints Leamington Priors,Warwick and Leamington,E14001566,Matt Western,Labour Party
The Congregation of the Parish Church of All Saints Leamington Priors,Warwick and Leamington,E14001566,Matt Western,Labour Party
Taunton Vale Catholics,Taunton and Wellington,E14001540,Gideon Amos,Liberal Democrats
Catholic Church Justice and Peace Group,Southgate and Wood Green,E14001503,Bambos Charalambous,Labour Party
Catholic Church Justice and Peace Group,Enfield North,E14001225,Feryal Clark,Labour Party
"Holy Trinity R.C.Parish, Newcastle under Lyme, and Sacred Heart Silverdale, Staffordshire",Newcastle-under-Lyme,E14001380,Adam Jogee,Labour Party
St Theodore's Hampton,Twickenham,E14001556,Munira Wilson,Liberal Democrats
Burley Women’s Institute,New Forest West,E14001374,Desmond Swayne,Conservative Party
Lockton and Levisham Women's Institute,Thirsk and Malton,E14001544,Kevin Hollinrake,Conservative Party
Lockton and Levisham Women's Institute,Scarborough and Whitby,E14001461,Alison Hume,Labour Party
Didsbury Village Women's Institute,Manchester Withington,E14001354,Jeff Smith,Labour Party
Roughton WI. Citizen Network Diem 25,North Norfolk,E14001396,Steffan Aquarone,Liberal Democrats
"Our Lady and Saint Benedict’s Catholic Church, North Staffordshire",Stoke on Trent Central,E14001519,Matt Vickers,Conservative Party
St Marks New Milverton,Warwick and Leamington,E14001566,Matt Western,Labour Party
Old Moulsham Mavens Women's Institute,Chelmsford,E14001159,Marie Goldman,Liberal Democrats
Birchgrove Cardiff Women's Institute,Cardiff East,W07000089,Jo Stevens,Labour Party
Birchgrove Cardiff Women's Institute,Cardiff North,W07000090,Anna McMorrin,Labour Party
Birchgrove Cardiff Women's Institute,Cardiff West,W07000092,Alex Barros-Curtis,Labour Party
Birchgrove Cardiff Women's Institute,Cardiff South and Penarth,W07000091,Stephen Doughty,Labour Co-operative
Bulphan Village Community Forum,South Basildon and East Thurrock,E14001480,James McMurdock,Reform UK
Bulphan Village Hall CIO,South Basildon and East Thurrock,E14001480,James McMurdock,Reform UK
Bulphan Women's Institute,South Basildon and East Thurrock,E14001480,James McMurdock,Reform UK
Warton Crag Women's Institute,Morecambe and Lunesdale,E14001372,Lizzi Collinge,Labour Party
21st century Thame,Henley and Thame,E14001280,Freddie Van Mierlo,Liberal Democrats
"Ecology & Social Action Group, Parish of Horndon Orsett & Bulphan",Thurrock,E14001546,Jennifer Craft,Labour Party
Silhill Women's Institute,Meriden and Solihull East,E14001358,Saqib Bhatti,Conservative Party
Horsmonden morning WI,Tonbridge,E14001549,Thomas Tugendhat,Conservative Party
Barton Seagrave Women's Institute,Kettering,E14001311,Rosie Wrighting,Labour Party
"Parish of St Wilfrid and St Cuthbert, Blyth, Northumberland",Blyth and Ashington,E14001107,Ian Lavery,Labour Party
Washington Concord WI,Sunderland Central,E14001531,Lewis Atkinson,Labour Party
Bristol Friends of the Earth,Bristol South,E14001135,Karin Smyth,Labour Party
Transition Tavistock,Torridge and Tavistock,E14001552,Geoffrey Cox,Conservative Party
The Catholic parishes of Kenilworth,Kenilworth and Southam,E14001309,Jeremy Wright,Conservative Party
Eco-Chi,Chichester,E14001166,Jessica Brown-Fuller,Liberal Democrats
Hunsbury Hill WI,Northampton South,E14001407,Mike Reader,Labour Party
St. Joseph's Parish Dinnington,Rother Valley,E14001451,Jake Richards,Labour Party
Tean Youth Club,Staffordshire Moorlands,E14001514,Karen Bradley,Conservative Party
Moorlands Climate Action,Staffordshire Moorlands,E14001514,Karen Bradley,Conservative Party
Zero Carbon Guildford,Guilford,E14001258,Zöe Franklin,Liberal Democrats
Llangattock Green Valleys CIC,"Brecon, Radnor and Cwm Tawe",W07000085,David Chadwick,Liberal Democrats
Sheldon Road Methodist Church,Chippenham,E14001168,Sarah Gibson,Liberal Democrats
Beautify Balham,Tooting,E14001550,Rosena Allin-Khan,Labour Party
"The Catholic Church of Corpus Christi, Headington, Oxford",Oxford East,E14001419,Anneliese Dodds,Labour Co-operative
"The Catholic Church of Corpus Christi, Headington, Oxford",Henley and Thame,E14001280,Freddie Van Mierlo,Liberal Democrats
Greenpeace Shoreditch,Hackney South and Shoreditch,E14001260,Meg Hillier,Labour Co-operative
St Mary’s Isles of Scilly WI,St Ives,E14001511,Andrew George,Liberal Democrats
Cleaner Coastlines: Weston and North Somerset plastic-free campaign,Weston Super Mare,E14001580,Tim Farron,Liberal Democrats
Winchester Action on the Climate Crisis,Winchester,E14001587,Danny Chambers,Liberal Democrats